F500 Rank,Company,RSS Feed?,PRNewsWire?,Feed or Release URL
1,Exxon Mobil,Y,N,http://exxonmobil.newshq.businesswire.com/feeds/press_release/all/rss.xml
2,Wal-Mart Stores,N,Y,http://www.walmartstores.com/pressroom/news/
3,Chevron,Y,N,http://www.chevron.com/news/press/articles.rss
4,ConocoPhillips,Y,N,http://www.conocophillips.com/_layouts/feed.aspx?xsl=1&web=%2FEN%2Fnewsroom%2Fnews_releases%2F2012NewsReleases&page=1f46368a-6a23-444b-8ff7-3f41aaa36854&wp=58b849b8-974c-4b34-8787-c9ea59f7eaf0
5,General Motors,N,N,http://media.gm.com/media/us/en/gm/news.html
6,General Electric,Y,N,http://www.genewscenter.com/rss/default.aspx?feedid={E05B7BCC-AA48-48E2-B4AB-2C2A8F98619B}
7,Berkshire Hathaway,N,N,http://www.berkshirehathaway.com/news/2012news.html
8,Fannie Mae,Y,Y,http://www.fanniemae.com/portal/jsp/rss.html
9,Ford Motor,Y,Y,http://media.ford.com/rss.xml
10,Hewlett-Packard,Y,Y,http://h30261.www3.hp.com/corporate.rss?c=71087&Rule=Cat=news~subcat=ALL
11,AT&T,Y,Y,http://feeds.feedburner.com/AttAllCategoriesRssFeeds
12,Valero Energy,Y,N,http://www.valero.com/NewsRoom/_layouts/NewsRSS.aspx?Category=Company%20News
13,Bank of America Corp.,Y,N,http://mediaroom.bankofamerica.com/corporate.rss?c=234503&Rule=Cat=news~subcat=ALL
14,McKesson,Y,N,http://feeds.mckesson.com/mckesson/news
15,Verizon Communications,Y,Y,http://newscenter.verizon.com/system/rss/channel.jsp?subsiteID=136168510&feed=feed-31221791&feedFormat=rss2
16,J.P. Morgan Chase & Co.,Y,N,http://apps.shareholder.com/rss/rss.aspx?channels=14&companyid=ONE&sh_auth=1863492435%2E0%2E0%2Edeec9374e8c0d9679612ce8975c87bc3
17,Apple,Y,N,https://www.apple.com/pr/feeds/pr.rss
18,CVS Caremark,Y,N,http://info.cvscaremark.com/newsroom/press-releases/feed
19,International Business Machines,Y,Y,http://www-03.ibm.com/press/us/en/rssfeed.wss?keyword=&maxFeed=10&feedType=RSS&topic=all
20,Citigroup,Y,N,http://www.citigroup.com/citi/news/press_rss.jsp
